altura_fin_derecha,altura_fin_izquierda,altura_inicio_derecha,altura_inicio_izquierda,categoria,departamento_id,departamento_nombre,fuente,id,localidad_censal_id,localidad_censal_nombre,nombre,provincia_id,provincia_nombre
1899,1900,1801,1802,CALLE,2049,Comuna 7,INDEC,204901010825,2000010,Ciudad Autónoma de Buenos Aires,TIMBO,2,Ciudad Autónoma de Buenos Aires
1799,1800,1601,1602,CALLE,2049,Comuna 7,INDEC,204901011000,2000010,Ciudad Autónoma de Buenos Aires,TTE GRL N LEVALLE,2,Ciudad Autónoma de Buenos Aires
1599,1600,1501,1502,CALLE,2049,Comuna 7,INDEC,204901011060,2000010,Ciudad Autónoma de Buenos Aires,UCACHA,2,Ciudad Autónoma de Buenos Aires
1599,1600,1501,1502,CALLE,2049,Comuna 7,INDEC,204901011530,2000010,Ciudad Autónoma de Buenos Aires,ZAPALA,2,Ciudad Autónoma de Buenos Aires
4199,4200,4101,4102,CALLE,2056,Comuna 8,INDEC,205601000370,2000010,Ciudad Autónoma de Buenos Aires,ALFARERO,2,Ciudad Autónoma de Buenos Aires
2999,0,0,0,CALLE,2056,Comuna 8,INDEC,205601000900,2000010,Ciudad Autónoma de Buenos Aires,ASTURIAS,2,Ciudad Autónoma de Buenos Aires
7199,7200,7191,7192,AV,2056,Comuna 8,INDEC,205601001330,2000010,Ciudad Autónoma de Buenos Aires,AV EVA PERON,2,Ciudad Autónoma de Buenos Aires
248,249,200,201,CALLE,14014,Capital,INDEC,1401401025630,14014010,Córdoba,GUSTAVO VAN MARCK,14,Córdoba
3998,3999,3800,3801,CALLE,14014,Capital,INDEC,1401401025635,14014010,Córdoba,GUSTAVO WALTHER,14,Córdoba
2899,2900,2801,2802,CALLE,2056,Comuna 8,INDEC,205601001950,2000010,Ciudad Autónoma de Buenos Aires,BARCELONA,2,Ciudad Autónoma de Buenos Aires
4899,4900,4701,4702,CALLE,2056,Comuna 8,INDEC,205601002895,2000010,Ciudad Autónoma de Buenos Aires,CALLE S N,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2056,Comuna 8,INDEC,205601003675,2000010,Ciudad Autónoma de Buenos Aires,CHAJARI,2,Ciudad Autónoma de Buenos Aires
5599,5600,5551,5552,CALLE,2056,Comuna 8,INDEC,205601004225,2000010,Ciudad Autónoma de Buenos Aires,CURA BROCHERO,2,Ciudad Autónoma de Buenos Aires
5899,5900,0,0,CALLE,2056,Comuna 8,INDEC,205601006045,2000010,Ciudad Autónoma de Buenos Aires,GRL NAPOLEON URIBURU,2,Ciudad Autónoma de Buenos Aires
4199,4200,4101,4102,CALLE,2056,Comuna 8,INDEC,205601006200,2000010,Ciudad Autónoma de Buenos Aires,GUILLERMO HUDSON,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2056,Comuna 8,INDEC,205601007590,2000010,Ciudad Autónoma de Buenos Aires,LOS CEDROS,2,Ciudad Autónoma de Buenos Aires
5499,5500,5401,5402,CALLE,2056,Comuna 8,INDEC,205601007815,2000010,Ciudad Autónoma de Buenos Aires,MALDONADO,2,Ciudad Autónoma de Buenos Aires
4099,4100,0,0,CALLE,2056,Comuna 8,INDEC,205601008930,2000010,Ciudad Autónoma de Buenos Aires,PAILEBOT DAVISON,2,Ciudad Autónoma de Buenos Aires
5399,5400,5001,5002,PJE,2056,Comuna 8,INDEC,205601009485,2000010,Ciudad Autónoma de Buenos Aires,PJE S N,2,Ciudad Autónoma de Buenos Aires
6499,6500,0,0,CALLE,2056,Comuna 8,INDEC,205601009970,2000010,Ciudad Autónoma de Buenos Aires,RIO NEGRO,2,Ciudad Autónoma de Buenos Aires
2199,2200,2101,2102,CALLE,2056,Comuna 8,INDEC,205601010370,2000010,Ciudad Autónoma de Buenos Aires,SANTA CATALINA,2,Ciudad Autónoma de Buenos Aires
6598,6599,6500,6501,CALLE,14014,Capital,INDEC,1401401025700,14014010,Córdoba,HECTOR ODDONE,14,Córdoba
3699,3700,3401,3402,CALLE,2056,Comuna 8,INDEC,205601011230,2000010,Ciudad Autónoma de Buenos Aires,VERACRUZ,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2056,Comuna 8,INDEC,205601011245,2000010,Ciudad Autónoma de Buenos Aires,VALMTE IRIZAR,2,Ciudad Autónoma de Buenos Aires
5499,5500,5401,5402,CALLE,2056,Comuna 8,INDEC,205601011255,2000010,Ciudad Autónoma de Buenos Aires,VICENTE DE SIMONE,2,Ciudad Autónoma de Buenos Aires
3449,3450,3351,3352,CALLE,2056,Comuna 8,INDEC,205601011350,2000010,Ciudad Autónoma de Buenos Aires,VILLA DE MASNOU,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,AV,2056,Comuna 8,INDEC,205601080005,2000010,Ciudad Autónoma de Buenos Aires,AV 27 DE FEBRERO,2,Ciudad Autónoma de Buenos Aires
2649,3000,0,0,CALLE,2063,Comuna 9,INDEC,206301000900,2000010,Ciudad Autónoma de Buenos Aires,ASTURIAS,2,Ciudad Autónoma de Buenos Aires
4199,4200,4101,4102,CALLE,2063,Comuna 9,INDEC,206301003480,2000010,Ciudad Autónoma de Buenos Aires,CARLOS MOREL,2,Ciudad Autónoma de Buenos Aires
1399,1400,1301,1302,CALLE,2063,Comuna 9,INDEC,206301004135,2000010,Ciudad Autónoma de Buenos Aires,COTOCOLLAO,2,Ciudad Autónoma de Buenos Aires
5199,5200,5101,5102,CALLE,2063,Comuna 9,INDEC,206301004235,2000010,Ciudad Autónoma de Buenos Aires,CURITYBA,2,Ciudad Autónoma de Buenos Aires
6999,7000,6801,6802,CALLE,2063,Comuna 9,INDEC,206301004880,2000010,Ciudad Autónoma de Buenos Aires,EL CARDENAL,2,Ciudad Autónoma de Buenos Aires
6999,7000,6801,6802,CALLE,2063,Comuna 9,INDEC,206301004885,2000010,Ciudad Autónoma de Buenos Aires,EL CARPINTERO,2,Ciudad Autónoma de Buenos Aires
3499,3500,3401,3402,CALLE,2063,Comuna 9,INDEC,206301004895,2000010,Ciudad Autónoma de Buenos Aires,EL CERRO,2,Ciudad Autónoma de Buenos Aires
699,700,301,302,CALLE,2063,Comuna 9,INDEC,206301004900,2000010,Ciudad Autónoma de Buenos Aires,EL CHACHO,2,Ciudad Autónoma de Buenos Aires
1399,1400,1301,1302,CALLE,2063,Comuna 9,INDEC,206301005495,2000010,Ciudad Autónoma de Buenos Aires,FINLANDIA,2,Ciudad Autónoma de Buenos Aires
1999,2000,1701,1702,CALLE,2063,Comuna 9,INDEC,206301005565,2000010,Ciudad Autónoma de Buenos Aires,FRAGATA CEFIRO,2,Ciudad Autónoma de Buenos Aires
6999,7000,6901,6902,CALLE,2063,Comuna 9,INDEC,206301005645,2000010,Ciudad Autónoma de Buenos Aires,FRANCISCO J ORTIZ,2,Ciudad Autónoma de Buenos Aires
799,800,0,0,CALLE,2063,Comuna 9,INDEC,206301005835,2000010,Ciudad Autónoma de Buenos Aires,GERONIMO CORTES,2,Ciudad Autónoma de Buenos Aires
1199,1200,1101,1102,CALLE,2063,Comuna 9,INDEC,206301005950,2000010,Ciudad Autónoma de Buenos Aires,GRAHAM R CUNNINGHAME,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2063,Comuna 9,INDEC,206301005955,2000010,Ciudad Autónoma de Buenos Aires,GRL CESAR DIAZ,2,Ciudad Autónoma de Buenos Aires
999,1000,901,902,CALLE,2063,Comuna 9,INDEC,206301006205,2000010,Ciudad Autónoma de Buenos Aires,GUIPUZCOA,2,Ciudad Autónoma de Buenos Aires
6999,7000,6901,6902,CALLE,2063,Comuna 9,INDEC,206301006815,2000010,Ciudad Autónoma de Buenos Aires,JOSE R BALTORE,2,Ciudad Autónoma de Buenos Aires
7499,7500,7401,7402,CALLE,2063,Comuna 9,INDEC,206301006855,2000010,Ciudad Autónoma de Buenos Aires,JUAN B PRIMOLI,2,Ciudad Autónoma de Buenos Aires
1499,1500,1301,1302,CALLE,2063,Comuna 9,INDEC,206301006925,2000010,Ciudad Autónoma de Buenos Aires,JUAN LEON PALLIERE,2,Ciudad Autónoma de Buenos Aires
3699,3700,3501,3502,CALLE,2063,Comuna 9,INDEC,206301007990,2000010,Ciudad Autónoma de Buenos Aires,MARIA REMEDIOS DEL VALLE,2,Ciudad Autónoma de Buenos Aires
1999,2000,1101,1102,CALLE,2063,Comuna 9,INDEC,206301008390,2000010,Ciudad Autónoma de Buenos Aires,MOLINA,2,Ciudad Autónoma de Buenos Aires
7499,7500,7101,7102,CALLE,2063,Comuna 9,INDEC,206301008770,2000010,Ciudad Autónoma de Buenos Aires,ONESIMO LEGUIZAMON,2,Ciudad Autónoma de Buenos Aires
81,82,1,2,PJE,2063,Comuna 9,INDEC,206301009080,2000010,Ciudad Autónoma de Buenos Aires,PASAJE PARTICULAR,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2063,Comuna 9,INDEC,206301009120,2000010,Ciudad Autónoma de Buenos Aires,PASEO DE LOS ARTISTAS,2,Ciudad Autónoma de Buenos Aires
5599,5600,5501,5502,PJE,2063,Comuna 9,INDEC,206301009455,2000010,Ciudad Autónoma de Buenos Aires,PJE LA MISERICORDIA,2,Ciudad Autónoma de Buenos Aires
599,600,501,502,PJE,2063,Comuna 9,INDEC,206301009495,2000010,Ciudad Autónoma de Buenos Aires,PJE TOMAS VALENCIA,2,Ciudad Autónoma de Buenos Aires
7199,7200,7101,7102,CALLE,2063,Comuna 9,INDEC,206301009540,2000010,Ciudad Autónoma de Buenos Aires,POLONIA,2,Ciudad Autónoma de Buenos Aires
149,150,1,2,CALLE,2063,Comuna 9,INDEC,206301009595,2000010,Ciudad Autónoma de Buenos Aires,PRELADO D B RISSO PATRON,2,Ciudad Autónoma de Buenos Aires
7599,7600,7401,7402,CALLE,2063,Comuna 9,INDEC,206301010910,2000010,Ciudad Autónoma de Buenos Aires,TRENQUE LAUQUEN,2,Ciudad Autónoma de Buenos Aires
7049,7050,7001,7002,CALLE,2063,Comuna 9,INDEC,206301010965,2000010,Ciudad Autónoma de Buenos Aires,TTE CANDIDO DE LA SALA,2,Ciudad Autónoma de Buenos Aires
99,100,1,2,CALLE,2063,Comuna 9,INDEC,206301011050,2000010,Ciudad Autónoma de Buenos Aires,TUYU,2,Ciudad Autónoma de Buenos Aires
6399,6400,6001,6002,CALLE,2063,Comuna 9,INDEC,206301011490,2000010,Ciudad Autónoma de Buenos Aires,YERBAL,2,Ciudad Autónoma de Buenos Aires
